SA22026_code,SA22026_name,TA2026_code,TA2026_name
332601,Inlet Port Lyttelton,060,Christchurch City
332801,Teddington,060,Christchurch City
333201,Banks Peninsula Eastern Bays,060,Christchurch City
333400,Inlet Akaroa Harbour,060,Christchurch City
333100,Banks Peninsula South,060,Christchurch City
333000,Inland water Lake Ellesmere/Te Waihora South,060,Christchurch City
333300,Akaroa Harbour,060,Christchurch City
333500,Akaroa,060,Christchurch City
324100,Wigram East,060,Christchurch City
323600,Wigram South,060,Christchurch City
324501,Halswell West,060,Christchurch City
321301,Prestons,060,Christchurch City
322900,Awatea South,060,Christchurch City
324502,Halswell South West,060,Christchurch City
